Strike,Date,Year,Tribal Agency,Location,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported FIred,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
Ob75,10/3/10,2010,NWA,Mizar Madakhel,32.906109,69.748807,Afternoon or evening,0,2,0,1,0,0,0,0,0,1,4,3,7,7,8,0,0,0,0,12,12
Ob76,10/3/10,2010,NWA,Mizar Madakhel,32.906109,69.748807,Afternoon or evening,0,3,0,0,0,0,0,0,0,3,-,2,4,7,7,4,7,0,0,0,0
Ob77,16/03/2010,2010,NWA,Mohammad Khel,32.957221,69.885192,Afternoon,0,3,0,1,0,0,0,0,0,2,4,2,5,7,11,0,0,0,0,2,2
Ob78,17/03/2010,2010,NWA,Hamzoni,32.97364,69.983339,Morning,0,3,0,1,0,0,0,0,0,2,4,4,5,3,5,0,0,0,0,4,4
Ob79,17/03/2010,2010,NWA,Mizar Madakhel,32.906109,69.748807,Morning,0,2,0,1,0,0,0,0,0,1,-,2,3,5,5,0,0,0,0,0,0
Ob80,21/03/2010,2010,NWA,Sanzali,32.963091,69.593711,Evening,1,2,1,1,0,0,0,0,0,1,3,2,2,5,8,0,0,0,0,0,0
Ob81,23/03/2010,2010,NWA,Machis,33.00053,70.065479,Night,2,2,1,1,0,0,0,0,1,1,4,2,2,6,6,0,0,0,0,3,3
Ob82,27/03/2010,2010,NWA,Hurmuz,32.97175,70.269263,,1,2,1,2,0,0,0,0,0,0,4,2,2,4,4,0,4,0,0,5,5
Ob83,31/03/2010,2010,NWA,Tappi,32.94694,70.147083,Night,0,2,0,1,0,0,0,1,0,0,4,2,3,5,6,5,6,1,1,2,2
Ob84,12/4/10,2010,NWA,Boya,32.944149,69.900169,Evening,1,1,1,1,0,0,0,0,0,0,-,2,2,13,13,8,13,2,2,2,3
Ob85,14/04/2010,2010,NWA,Deegan,32.960354,69.867332,Evening,1,1,0,0,0,0,0,0,1,1,-,2,2,4,5,0,0,0,0,1,3
Ob86,16/04/2010,2010,NWA,Tol Khel,33.074677,70.144304,Afternoon,3,3,1,1,0,0,0,0,2,2,-,5,6,3,4,0,0,0,0,2,2
Ob87,24/04/2010,2010,NWA,Machi Khel,33.030398,70.247011,Evening,1,1,1,1,0,0,0,0,0,0,-,3,3,7,9,0,0,0,0,0,0
Ob88,26/04/2010,2010,NWA,Khushali,32.938927,70.247355,Morning,0,2,0,1,0,1,0,0,0,0,-,3,3,3,8,0,0,0,0,3,3
Ob89,3/5/10,2010,NWA,Machi Khel,33.030398,70.247011,Afternoon,0,1,0,1,0,0,0,0,0,0,-,3,3,4,6,0,2,0,0,0,0
Ob90,9/5/10,2010,NWA,Inzarkas,32.97355,69.62063,Morning,1,1,1,1,0,0,0,0,0,0,4,2,2,5,10,0,4,0,0,4,4
Ob91,11/5/10,2010,NWA,Lawra Mandi,32.97922,69.496036,Morning,2,2,1,1,0,0,0,0,1,1,4,11,18,8,14,0,4,0,0,12,12
